Type of Disaster,Number,Event,Period,Compiled using preliminary data,Begin Date,End Date,Summary,CPI-AdjustedEstimatedCost(inBillions),More than $1B after CPI adjustment,Deaths
Tropical Cyclone,505,Tropical Storm Frances, Sep 1998,,8 08 1998,13 08 1998,Tropical Storm Frances caused extensive flooding in Texas and Louisiana. The rainfall totals from Frances were 10 to 20 inches across eastern Texas into southern Louisiana.,$1.20,Y,2
Severe Storm,508,"Severe Storms, Tornadoes", Jun 1998,,30 05 1998,2 06 1998,"Severe storms in late May through early June hit the Midwest, North, Northeast, and Southeast",$2.00,,20
Severe Storm,511,Minnesota Severe Storms/ Hail, May 1998,,15 05 1998,15 05 1998,Very damaging severe thunderstorms with large hail over wide areas of Minnesota,$2.80,,1
Severe Storm,514,Western/ Eastern Severe Weather and Flooding,Winter-Spring 1998,,1 12 1997,28 02 1998,"Tornadoes and flooding cause damage across the West and Southeast. The states impacted include CA, TX, FL, AL, GA, LA, MS, NC and SC.",$1.80,,132
Winter Storm,517,Northeast Ice Storm, Jan 1998,,5 01 1998,9 01 1998,"Intense ice storm hits Maine, New Hampshire, Vermont, and New York, with extensive forestry losses",$2.40,,16
Flooding,520,Northern Plains Flooding,Spring 1997,,3 02 1997,24 05 1997,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",$6.40,,11
Flooding,523,Mississippi and Ohio Valley Severe Weather and Flooding, Mar 1997,,28 02 1997,5 03 1997,"Tornadoes and severe flooding hit the states of AR, MO, MS, TN, IL, IN, KY, OH, and WV, with over 10 inches of rain in 24 hours in Louisville.",$1.70,,67
Flooding,526,West Coast Flooding,December 1996-January 1997,,1 01 1997,11 01 1997,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",$5.30,,36
Tropical Cyclone,529,Hurricane Fran, Sep 1996,,5 09 1996,8 09 1996,"Category 3 hurricane strikes North Carolina and Virginia, over 10-inch 24-hour rains in some locations and extensive agricultural and other losses.",$9.00,,37
Drought,532,Southern Plains Drought,Spring-Summer 1996,,1 03 1996,31 08 1996,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,$3.20,,0
Flooding,535,Pacific Northwest Severe Flooding, Feb 1996,,7 02 1996,12 02 1996,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",$1.80,,9
Winter Storm,538,Blizzard/ Floods, Jan 1996,,1 01 1996,31 01 1996,"Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",$5.40,,187
Tropical Cyclone,541,Hurricane Opal, Oct 1995,,4 10 1995,6 10 1995,"Category 3 hurricane strikes Florida panhandle, Alabama, western Georgia, eastern Tennessee, and the western Carolinas, causing storm surge, wind, and flooding damage.",$8.70,,27
Drought,544,"Central, Southern and Northeast Drought/ Heat Wave", Sep 1995,Y,1 07 1995,30 09 1995,"Historic mid-July heat wave and urban heat island amplification caused hundreds of deaths across several major cities including Chicago, Milwaukee, and Philadelphia. Following the heat wave was hot, dry weather in July and August 1995 that affected crops in numerous states, as crops had not rooted well due to late planting from previous wet soils. This left crops vulnerable to a flash drought during a key portion of the growing season.",$1.80,,872
Tropical Cyclone,547,Hurricane Marilyn, Sep 1995,,15 09 1995,17 09 1995,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,$3.90,,13
Tropical Cyclone,550,Hurricane Erin, Aug 1995,,1 08 1995,7 08 1995,"Hurricane Erin impacted Florida as a category 1 hurricane. Most of the damage resulted from heavy rainfall and flooding in Florida, Alabama and Mississippi.",$1.60,Y,6
Severe Weather,553,South Plains Severe Weather, May 1995,,5 05 1995,7 05 1995,"Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",$10.10,,32
Flooding,556,California Flooding,January-March 1995,,1 01 1995,31 03 1995,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,$4.60,,27
Wildfire,559,Western Fire Season,Summer-Fall 1994,,1 06 1994,30 11 1994,"Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",$1.40,Y,0
Flooding,562,Texas Flooding, Oct 1994,,16 10 1994,25 10 1994,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,$1.90,,19
Tropical Cyclone,565,Tropical Storm Alberto, Jul 1994,,7 07 1994,10 07 1994,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",$1.90,,32
Severe Storm,568,Midwest/ Plains Tornadoes, Apr 1994,,25 04 1994,27 04 1994,"Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",$1.90,,3
Winter Storm,571,Southeast Ice Storm, Feb 1994,,8 02 1994,13 02 1994,"Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",$5.70,,9
Winter Storm,574,"Winter Storm, Cold Wave", Jan 1994,,17 01 1994,20 01 1994,"Winter storm affects the Southeast and Northeast regions. The states impacted include CT, DE, IL, IN, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT and WV.",$2.00,,70
Wildfire,577,California Wildfires,Fall 1993,,1 09 1993,30 11 1993,"Dry weather, high winds and wildfires in Southern California",$2.70,,4
Drought,580,Southeast Drought and Heat Wave,Summer 1993,,1 06 1993,31 08 1993,"Drought and heat wave across Southeastern U.S. The states most impacted include AL, FL, GA, MD, NC, SC, TN, and VA.",$2.50,,16
